system:index,Date,NDVI,NDWI,S1,SI5,Sampling,.geo
7_0000000000000000000e_0,2017-08-01,0.19488817,-0.25737765,-14.95360031516164,0.2968745189469787,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
7_00000000000000000010_0,2017-08-01,0.1754386,-0.24517512,-15.4996151633283,0.3169359556755907,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000000_0,2018-05-01,0.30696133,-0.37343243,-9.605043355487375,0.20755914819636354,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000002_0,2018-05-01,0.332001,-0.41846237,-11.724076040597602,0.18495173694777783,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000004_0,2018-05-01,0.34507605,-0.41911867,-11.405818105996406,0.18026950657279783,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000006_0,2018-05-01,0.32571694,-0.37442592,-11.791167928910507,0.20180830012663006,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000008_0,2018-05-01,0.2138047,-0.29472503,-10.864664351849466,0.24805628393572296,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000a_0,2018-05-01,0.3664488,-0.29935777,-14.21335999511335,0.09890290693402293,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000c_0,2018-05-01,0.29704848,-0.33500558,-11.444588902684144,0.1807682217647781,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_0000000000000000000e_0,2018-05-01,0.2933194,-0.34272555,-12.880437989393304,0.18694047180854123,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
8_00000000000000000010_0,2018-05-01,0.19894007,-0.27619874,-11.655808155396887,0.25344792364507546,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000000_0,2018-06-01,0.2991249,-0.36310518,-9.174890352524876,0.24719660191839207,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000002_0,2018-06-01,0.26610646,-0.37207285,-11.320239196673258,0.2558784867862087,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000004_0,2018-06-01,0.30811265,-0.36791208,-12.76756249109738,0.2340488837828542,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000006_0,2018-06-01,0.30453563,-0.35913593,-14.891338998795373,0.22729914210132868,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000008_0,2018-06-01,0.21760194,-0.2779661,-11.971638732515334,0.265344191570119,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000000a_0,2018-06-01,0.19069767,-0.25546142,-12.787862388098642,0.23656998964365702,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000000c_0,2018-06-01,0.25822902,-0.30984557,-14.242642275954655,0.22778937639846156,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_0000000000000000000e_0,2018-06-01,0.25675675,-0.32541567,-11.945665382281373,0.23917671291327675,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
9_00000000000000000010_0,2018-06-01,0.1877898,-0.2755187,-10.377446100363178,0.28128149601422414,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000000_0,2018-07-01,0.25878593,-0.33559322,-14.320374315692057,0.2586314752693492,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000002_0,2018-07-01,0.22744858,-0.33244917,-14.915242363568337,0.2658256007234819,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000004_0,2018-07-01,0.27207282,-0.35406807,-16.017016444336953,0.23954168739490836,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000006_0,2018-07-01,0.2745614,-0.34257334,-16.00757481356832,0.2301866416628037,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000008_0,2018-07-01,0.19630873,-0.26362428,-15.482921730517031,0.25910739086332524,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000000a_0,2018-07-01,0.18942383,-0.25766742,-13.913081267988805,0.26204049305403165,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000000c_0,2018-07-01,0.23076923,-0.30055192,-13.982678017860128,0.22659633712838342,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_0000000000000000000e_0,2018-07-01,0.23680523,-0.3031496,-16.209976721600913,0.23250997828050304,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
10_00000000000000000010_0,2018-07-01,0.2065601,-0.27344435,-13.647586159792993,0.26316276332338506,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000000_0,2018-08-01,0.25283894,-0.3351445,-12.919541268815301,0.23471280322981958,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000002_0,2018-08-01,0.25163478,-0.350405,-14.291579582883429,0.2275876204893403,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000004_0,2018-08-01,0.31877497,-0.37861916,-14.586278900137227,0.19356731387297804,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000006_0,2018-08-01,0.33333334,-0.3959965,-15.705723992680731,0.18718273157532456,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000008_0,2018-08-01,0.25199896,-0.3349835,-15.75565555199914,0.21624638725305909,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000000a_0,2018-08-01,0.360108,-0.36795655,-13.805862050826779,0.12876536801485094,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000000c_0,2018-08-01,0.32362255,-0.37749216,-16.693968789441115,0.16424883561231113,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_0000000000000000000e_0,2018-08-01,0.3080301,-0.3672131,-13.984980507789363,0.16915028820548902,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
11_00000000000000000010_0,2018-08-01,0.26702997,-0.35017422,-13.667389923836033,0.20205809808072528,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000000_0,2019-05-01,0.4714152,-0.49381542,-8.830476574305308,0.16295128106277654,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000002_0,2019-05-01,0.4502924,-0.50645405,-9.761465800287102,0.16177020739307965,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000004_0,2019-05-01,0.48212352,-0.5229613,-11.574263685804105,0.14828351223247985,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000006_0,2019-05-01,0.4929368,-0.5258359,-11.482029495831469,0.1534249979631742,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000008_0,2019-05-01,0.33528265,-0.38313982,-9.94589436080258,0.19535792791693918,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000000a_0,2019-05-01,0.28526926,-0.3616219,-11.429795314586993,0.22898886435807309,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000000c_0,2019-05-01,0.38217214,-0.39648032,-12.22388480904392,0.17505559117034794,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_0000000000000000000e_0,2019-05-01,0.41799486,-0.4379562,-12.609755578744032,0.17659728197228858,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
12_00000000000000000010_0,2019-05-01,0.2949956,-0.35259056,-11.397601845690154,0.22923420338160708,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000000_0,2019-06-01,0.347207,-0.39709222,-10.01799725839187,0.2149012563946521,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000002_0,2019-06-01,0.31992042,-0.39031208,-10.532930542958912,0.2181062585071781,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000004_0,2019-06-01,0.35012105,-0.39330333,-10.90275127588617,0.19287363738987245,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000006_0,2019-06-01,0.33449563,-0.38057202,-11.839967859528564,0.19057586415913216,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000008_0,2019-06-01,0.26784882,-0.3331698,-10.88369758142608,0.22733864607672846,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000000a_0,2019-06-01,0.25809696,-0.32331783,-12.516518150654932,0.256646994917143,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000000c_0,2019-06-01,0.29167637,-0.32821864,-10.791678764792893,0.21797779703446865,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_0000000000000000000e_0,2019-06-01,0.2860771,-0.32492864,-11.110828406052624,0.22901539249578837,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
13_00000000000000000010_0,2019-06-01,0.26356944,-0.32003844,-11.218574452353455,0.23798187956228936,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000000_0,2019-07-01,0.23355314,-0.27885532,-13.910965807839542,0.33103043666708354,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000002_0,2019-07-01,0.17804551,-0.24980274,-14.624986509709359,0.3536093395259803,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000004_0,2019-07-01,0.20877056,-0.27087107,-14.49403824960845,0.3222285369113046,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000006_0,2019-07-01,0.21575922,-0.2598563,-16.11861930802477,0.3002324599372959,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000008_0,2019-07-01,0.17639366,-0.22256202,-13.573203271443095,0.32844508673444944,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0000000000000000000a_0,2019-07-01,0.1853117,-0.24261415,-14.846208736029238,0.37033368736856764,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0000000000000000000c_0,2019-07-01,0.18290097,-0.22694196,-14.342748044300723,0.3196493704045106,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_0000000000000000000e_0,2019-07-01,0.19491525,-0.22978866,-14.662228715243021,0.32587980913214,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
14_00000000000000000010_0,2019-07-01,0.17094973,-0.22022621,-14.842120874997413,0.3440135026419748,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000000_0,2019-08-01,0.25965583,-0.3725,-14.196952667161764,0.2824923361792316,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000002_0,2019-08-01,0.22993827,-0.3618112,-16.149950632486117,0.28600013986010564,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000004_0,2019-08-01,0.26597077,-0.4037037,-14.67524463968839,0.25066096624724,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000006_0,2019-08-01,0.3097101,-0.3876158,-15.40428102767308,0.22048809491670973,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000008_0,2019-08-01,0.25896764,-0.33240741,-13.847179087431726,0.24933872543189115,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0000000000000000000a_0,2019-08-01,0.28149533,-0.3570863,-16.082967712811765,0.2696109048239703,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0000000000000000000c_0,2019-08-01,0.28315097,-0.34310582,-15.566144138651948,0.2347388336002375,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_0000000000000000000e_0,2019-08-01,0.28390753,-0.33939946,-12.982505007512401,0.24333211871842977,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
15_00000000000000000010_0,2019-08-01,0.25579435,-0.33992806,-12.732702029951458,0.2636135428994497,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000000_0,2020-05-01,0.46285114,-0.48785046,-10.19832230238765,0.1437162830023098,P1,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000002_0,2020-05-01,0.4135521,-0.4496728,-10.433153958858618,0.13815824260607834,P2,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000004_0,2020-05-01,0.4539896,-0.4867146,-10.989541141746923,0.12943214438461567,P3,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000006_0,2020-05-01,0.44919,-0.45777777,-12.600808659122222,0.128935255070132,P4,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000008_0,2020-05-01,0.3609672,-0.39058822,-11.839039220411891,0.14514751117397776,P5,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0000000000000000000a_0,2020-05-01,0.5150196,-0.43386897,-13.030824763940572,0.07224326958270923,P6,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0000000000000000000c_0,2020-05-01,0.49720672,-0.461486,-11.609591624590642,0.10125611092669913,P7,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_0000000000000000000e_0,2020-05-01,0.4779066,-0.4605141,-11.438670775729303,0.10864442001317877,P8,"{""type"":""MultiPoint"",""coordinates"":[]}"
16_00000000000000000010_0,2020-05-01,0.38186157,-0.40066525,-9.935584860997476,0.13877766390885818,P9,"{""type"":""MultiPoint"",""coordinates"":[]}"
